dataset,task_type,model,best_cv_score,test_score,runtime_sec,best_params
adult_income,classification,gradient_boosting,0.8722,0.8777,1159.74,"{'model__n_estimators': 251, 'model__learning_rate': 0.06664378452570062, 'model__max_depth': 5}"
adult_income,classification,random_forest,0.8619,0.8635,65.7,"{'model__n_estimators': 133, 'model__max_depth': 18}"
adult_income,classification,decision_tree,0.8569,0.8594,14.93,"{'model__max_depth': 8, 'model__min_samples_split': 3}"
adult_income,classification,neural_net,0.8554,0.859,1061.7,"{'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.00010512149273155772}"
adult_income,classification,logistic_regression,0.8517,0.8519,11.4,"{'model__C': 0.5946634448955065, 'model__solver': 'liblinear'}"
