dataset,task_type,model,best_cv_score,test_score,runtime_sec,best_params
wine_quality,classification,random_forest,0.6502,0.6831,1.67,"{'model__max_depth': None, 'model__n_estimators': 100}"
wine_quality,classification,gradient_boosting,0.6199,0.6388,36.59,"{'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 150}"
wine_quality,classification,neural_net,0.5683,0.6148,8.89,"{'model__hidden_layer_sizes': (128, 64), 'model__learning_rate_init': 0.001}"
wine_quality,classification,decision_tree,0.548,0.5865,0.15,"{'model__max_depth': None, 'model__min_samples_split': 2}"
wine_quality,classification,logistic_regression,0.5423,0.5311,0.25,"{'model__C': 10, 'model__solver': 'lbfgs'}"
